"Canton","Nationalité","Classes dâge 15-24, 25-49, 50 ans et plus",,"Mois","Septembre 2017"
"Argovie","Etrangers","3","50 ans et plus",,"1105"
"Argovie","Etrangers","Total",,,"4972"
"Argovie","Suisses","1","15-24 ans",,"958"
"Argovie","Suisses","2","25-49 ans",,"2792"
"Argovie","Suisses","3","50 ans et plus",,"1962"
"Argovie","Suisses","Total",,,"5712"
"Argovie","Total","",,,"10684"
"Thurgovie","Etrangers","1","15-24 ans",,"188"
"Thurgovie","Etrangers","2","25-49 ans",,"893"
"Thurgovie","Etrangers","3","50 ans et plus",,"394"
"Thurgovie","Etrangers","Total",,,"1475"
"Thurgovie","Suisses","1","15-24 ans",,"329"
"Thurgovie","Suisses","2","25-49 ans",,"733"
"Thurgovie","Suisses","3","50 ans et plus",,"521"
"Thurgovie","Suisses","Total",,,"1583"
"Thurgovie","Total","",,,"3058"
"Tessin","Etrangers","1","15-24 ans",,"231"
"Tessin","Etrangers","2","25-49 ans",,"1378"
"Tessin","Etrangers","3","50 ans et plus",,"694"
"Tessin","Etrangers","Total",,,"2303"
"Tessin","Suisses","1","15-24 ans",,"572"
"Tessin","Suisses","2","25-49 ans",,"1472"
"Tessin","Suisses","3","50 ans et plus",,"855"
"Tessin","Suisses","Total",,,"2899"
"Tessin","Total","",,,"5202"
"Vaud","Etrangers","1","15-24 ans",,"625"
"Vaud","Etrangers","2","25-49 ans",,"5987"
"Vaud","Etrangers","3","50 ans et plus",,"1652"
"Vaud","Etrangers","Total",,,"8264"
"Vaud","Suisses","1","15-24 ans",,"1279"
"Vaud","Suisses","2","25-49 ans",,"5203"
"Vaud","Suisses","3","50 ans et plus",,"2409"
"Vaud","Suisses","Total",,,"8891"
"Vaud","Total","",,,"17155"
"Valais","Etrangers","1","15-24 ans",,"287"
"Valais","Etrangers","2","25-49 ans",,"1352"
"Valais","Etrangers","3","50 ans et plus",,"487"
"Valais","Etrangers","Total",,,"2126"
"Valais","Suisses","1","15-24 ans",,"459"
"Valais","Suisses","2","25-49 ans",,"1448"
"Valais","Suisses","3","50 ans et plus",,"783"
"Valais","Suisses","Total",,,"2690"
"Valais","Total","",,,"4816"
"Neuchâtel","Etrangers","1","15-24 ans",,"216"
"Neuchâtel","Etrangers","2","25-49 ans",,"1353"
"Neuchâtel","Etrangers","3","50 ans et plus",,"401"
"Neuchâtel","Etrangers","Total",,,"1970"
"Neuchâtel","Suisses","1","15-24 ans",,"510"
"Neuchâtel","Suisses","2","25-49 ans",,"1476"
"Neuchâtel","Suisses","3","50 ans et plus",,"782"
"Neuchâtel","Suisses","Total",,,"2768"
"Neuchâtel","Total","",,,"4738"
"Genève","Etrangers","1","15-24 ans",,"297"
"Genève","Etrangers","2","25-49 ans",,"4561"
"Genève","Etrangers","3","50 ans et plus",,"1084"
"Genève","Etrangers","Total",,,"5942"
"Genève","Suisses","1","15-24 ans",,"617"
"Genève","Suisses","2","25-49 ans",,"4066"
"Genève","Suisses","3","50 ans et plus",,"1609"
"Genève","Suisses","Total",,,"6292"
"Genève","Total","",,,"12234"
"Jura","Etrangers","1","15-24 ans",,"46"
"Jura","Etrangers","2","25-49 ans",,"344"
"Jura","Etrangers","3","50 ans et plus",,"115"
"Jura","Etrangers","Total",,,"505"
"Jura","Suisses","1","15-24 ans",,"220"
"Jura","Suisses","2","25-49 ans",,"548"
"Jura","Suisses","3","50 ans et plus",,"346"
"Jura","Suisses","Total",,,"1114"
"Jura","Total","",,,"1619"
"Total","","",,,"133169"
